Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(4.011733285714286-2.5845843857142854j),(4.034460000000001-2.5484700000000005j),(4.188930000000001-2.8101000000000003j),(4.3536600000000005-3.1868700000000003j),(4.47963-3.3795300000000004j),(4.59705-3.6331800000000003j),(4.75722-3.9119100000000007j),(4.85982-4.054410000000001j),(4.916250000000001-4.0703700000000005j),(4.94418-4.027620000000001j),(4.994340000000001-4.01508j),(4.973820000000001-3.9221700000000004j)
8.05,(4.005134314285716-2.5754508142857135j),(4.03845-2.53935j),(4.1860800000000005-2.80269j),(4.3719-3.1925700000000004j),(4.4887500000000005-3.36072j),(4.6198500000000005-3.62577j),(4.764060000000001-3.9056400000000004j),(4.86039-4.061820000000001j),(4.9225200000000005-4.085190000000001j),(4.961280000000001-4.04586j),(5.012580000000001-4.0356000000000005j),(4.987500000000001-3.9483900000000003j)
8.1,(3.9985353428571457-2.5663172428571417j),(4.012230000000001-2.5336500000000006j),(4.16328-2.7941400000000005j),(4.34853-3.18459j),(4.46025-3.3624300000000003j),(4.58337-3.6177900000000007j),(4.73955-3.88797j),(4.831320000000001-4.034460000000001j),(4.893450000000001-4.0703700000000005j),(4.9305-4.01907j),(4.990350000000001-4.00767j),(4.97097-3.92445j)
8.15,(3.99193637142857-2.5571836714285703j),(4.01109-2.5330800000000004j),(4.1610000000000005-2.7850200000000003j),(4.33713-3.1686300000000003j),(4.45797-3.3487500000000003j),(4.57881-3.6035400000000006j),(4.72815-3.8646000000000007j),(4.82334-4.008240000000001j),(4.89573-4.039020000000001j),(4.921380000000001-3.9962700000000004j),(4.98066-3.9837300000000004j),(4.9686900000000005-3.8959500000000005j)
8.2,(3.9853374-2.5479342000000003j),(4.00596-2.5154100000000006j),(4.15359-2.7673500000000004j),(4.332-3.1538100000000004j),(4.44657-3.323670000000001j),(4.557720000000001-3.58815j),(4.705920000000001-3.8640300000000005j),(4.8068100000000005-4.01736j),(4.870080000000001-4.031040000000001j),(4.90371-3.9996900000000006j),(4.956720000000001-3.99114j),(4.943040000000001-3.8976600000000006j)
8.25,(3.978738428571429-2.5391855142857147j),(3.9957000000000003-2.50401j),(4.143330000000001-2.7531000000000003j),(4.3228800000000005-3.1401300000000005j),(4.4346000000000005-3.3168300000000004j),(4.561140000000001-3.5818800000000004j),(4.708200000000001-3.85149j),(4.807950000000001-4.00311j),(4.86324-4.0356000000000005j),(4.8974400000000005-4.0008300000000006j),(4.952730000000001-3.990570000000001j),(4.93221-3.9045j)
8.3,(3.9738101000000006-2.529592685714286j),(3.9848700000000004-2.4954600000000005j),(4.13649-2.75253j),(4.320600000000001-3.1287300000000005j),(4.43289-3.3082800000000003j),(4.557720000000001-3.5619300000000003j),(4.708200000000001-3.8383800000000003j),(4.803960000000001-3.9803100000000002j),(4.87464-4.01109j),(4.90599-3.97461j),(4.96755-3.9637800000000003j),(4.953870000000001-3.8760000000000003j)
8.35,(3.968307428571429-2.520686571428572j),(3.990570000000001-2.49318j),(4.13649-2.74626j),(4.312620000000001-3.1247400000000005j),(4.42434-3.3014400000000004j),(4.54347-3.5448300000000006j),(4.692810000000001-3.81501j),(4.782300000000001-3.9740400000000005j),(4.856400000000001-4.004250000000001j),(4.889460000000001-3.95466j),(4.9493100000000005-3.9461100000000005j),(4.94076-3.86688j)
8.4,(3.9633639000000005-2.511918342857143j),(3.9871500000000006-2.4681j),(4.12908-2.7194700000000003j),(4.3017900000000004-3.1019400000000004j),(4.418070000000001-3.2814900000000002j),(4.53321-3.5385600000000004j),(4.68654-3.7962000000000007j),(4.77831-3.9569400000000003j),(4.846140000000001-4.0008300000000006j),(4.87863-3.9540900000000008j),(4.93221-3.9512400000000008j),(4.9185300000000005-3.8720100000000004j)
8.45,(3.9580563857142863-2.502376542857143j),(3.97461-2.47038j),(4.118250000000001-2.72346j),(4.29438-3.0962400000000008j),(4.40211-3.2700900000000006j),(4.52751-3.5294400000000006j),(4.677990000000001-3.80019j),(4.773180000000001-3.9478200000000006j),(4.82904-3.9820200000000003j),(4.86324-3.937560000000001j),(4.917960000000001-3.9284400000000006j),(4.8974400000000005-3.8526300000000004j)
