Frequency (GHz),Material 1,Material 2,Material 3,Max Absorption (dB)
8200000000.0,91.0,2.0,1.0,-26.77301422334372
8250000000.0,39.0,16.0,0.0,-26.42844320583961
8300000000.0,24.0,2.0,0.0,-27.414498452273858
8350000000.0,3.0,15.0,2.0,-25.925313688909057
8400000000.0,52.0,5.0,1.0,-26.88680735236988
8450000000.0,92.0,4.0,2.0,-26.49549547119751
8500000000.0,42.0,2.0,1.0,-27.20410970081803
8550000000.0,62.0,11.0,1.0,-26.53008536943404
8600000000.0,23.0,5.0,0.0,-27.397881710016804
8650000000.0,56.0,1.0,2.0,-26.98236892964792
8700000000.0,49.0,2.0,0.0,-27.59423923898212
8750000000.0,85.0,15.0,1.0,-26.29636177429596
8800000000.0,3.0,12.0,0.0,-26.961644125474102
8850000000.0,9.0,6.0,1.0,-27.126768755483145
8900000000.0,43.0,31.0,0.0,-25.994184539438436
8950000000.0,67.0,11.0,1.0,-26.67249537997082
9000000000.0,28.0,9.0,0.0,-27.30140296319695
9050000000.0,38.0,18.0,0.0,-26.713887722690398
9100000000.0,42.0,21.0,0.0,-26.550525069246934
9150000000.0,47.0,7.0,2.0,-26.768906515246126
9200000000.0,15.0,32.0,0.0,-26.11330528539395
9250000000.0,93.0,15.0,0.0,-26.75290162933653
9300000000.0,3.0,4.0,2.0,-27.119635641758233
9350000000.0,90.0,10.0,1.0,-26.75505144237819
9400000000.0,81.0,3.0,2.0,-26.942744645155564
9450000000.0,63.0,1.0,0.0,-27.878869477704423
9500000000.0,15.0,9.0,1.0,-27.15189580469326
9550000000.0,30.0,1.0,5.0,-26.431160012148183
9600000000.0,51.0,1.0,2.0,-27.292391330604808
9650000000.0,52.0,3.0,1.0,-27.473039974098093
9700000000.0,84.0,6.0,0.0,-27.445054510419485
9750000000.0,14.0,21.0,0.0,-26.77889300020603
9800000000.0,22.0,12.0,3.0,-26.30099675215782
9850000000.0,43.0,1.0,0.0,-28.076489869256168
9900000000.0,77.0,8.0,1.0,-27.001938018180063
9950000000.0,17.0,5.0,0.0,-27.889086291281636
10000000000.0,13.0,28.0,1.0,-26.122149626844386
10050000000.0,85.0,1.0,0.0,-27.856987472873712
10100000000.0,98.0,19.0,1.0,-26.294294451342772
10150000000.0,7.0,11.0,0.0,-27.46139642307294
10200000000.0,21.0,5.0,4.0,-26.485009098456086
10250000000.0,30.0,5.0,2.0,-27.116984153280676
10300000000.0,38.0,12.0,0.0,-27.26563764593179
10350000000.0,50.0,36.0,1.0,-25.688121484671655
10400000000.0,58.0,6.0,1.0,-27.22125514012038
10450000000.0,37.0,7.0,0.0,-27.628563455285256
10500000000.0,8.0,6.0,1.0,-27.49623394287859
10550000000.0,69.0,12.0,0.0,-27.104825509099875
10600000000.0,57.0,16.0,2.0,-26.180650630301404
10650000000.0,37.0,0.0,1.0,-27.842136563416823
10700000000.0,4.0,23.0,0.0,-26.727126212229187
10750000000.0,15.0,13.0,0.0,-27.28696428274464
10800000000.0,78.0,4.0,1.0,-27.2384849080607
10850000000.0,79.0,17.0,1.0,-26.36740774507608
10900000000.0,36.0,4.0,0.0,-27.83023727520833
10950000000.0,59.0,10.0,2.0,-26.478509492797194
11000000000.0,82.0,4.0,3.0,-26.457063384416134
11050000000.0,51.0,4.0,2.0,-26.946703681642987
11100000000.0,62.0,5.0,1.0,-27.169095847529555
11150000000.0,18.0,19.0,0.0,-26.82825064804419
11200000000.0,77.0,5.0,0.0,-27.46862115573365
11250000000.0,43.0,13.0,0.0,-27.028263733429405
11300000000.0,80.0,2.0,0.0,-27.68344216569099
11350000000.0,22.0,6.0,2.0,-26.90338102642763
11400000000.0,33.0,20.0,1.0,-26.250151758175583
11450000000.0,58.0,8.0,1.0,-26.864729808958856
11500000000.0,17.0,2.0,1.0,-27.647801726066383
11550000000.0,44.0,1.0,0.0,-27.89798830940544
11600000000.0,51.0,3.0,0.0,-27.65241999828605
11650000000.0,55.0,19.0,0.0,-26.506837821055115
11700000000.0,68.0,1.0,4.0,-26.20231077009695
11750000000.0,32.0,0.0,1.0,-27.633209561634725
11800000000.0,52.0,8.0,3.0,-26.033721885006386
11850000000.0,78.0,9.0,2.0,-26.214665198703173
11900000000.0,44.0,5.0,0.0,-27.422530488268183
11950000000.0,86.0,5.0,2.0,-26.45098601618141
12000000000.0,45.0,7.0,5.0,-25.363486712093447
12050000000.0,47.0,17.0,0.0,-26.512669824860456
12100000000.0,94.0,4.0,0.0,-27.235725846557408
12150000000.0,34.0,0.0,1.0,-27.47165403499048
12200000000.0,84.0,3.0,0.0,-27.30882650498501
12250000000.0,34.0,16.0,2.0,-25.796806064096916
12300000000.0,29.0,4.0,2.0,-26.681083751602607
12350000000.0,20.0,5.0,0.0,-27.442603442944108
12400000000.0,13.0,6.0,0.0,-27.40531066555676
