,0
0,(3.3358757142857143-1.9617292857142858j)
1,(3.4025932285714284-2.0009638714285716j)
2,(3.469310742857143-2.0401984571428575j)
3,(3.536028257142857-2.079433042857143j)
4,(3.6027457714285718-2.118667628571429j)
5,(3.669463285714286-2.1579022142857145j)
6,(3.7361808000000005-2.1971368000000004j)
7,(3.8028983142857147-2.236371385714286j)
8,(3.8696158285714284-2.2756059714285715j)
9,(3.9363333428571425-2.314840557142857j)
10,(4.003050857142857-2.354075142857143j)
11,(4.069768371428571-2.393309728571429j)
12,(4.136485885714285-2.4325443142857144j)
13,(4.2032034-2.4717789000000003j)
14,(4.269920914285715-2.511013485714286j)
15,(4.336638428571429-2.550248071428572j)
16,(4.403355942857143-2.5894826571428573j)
17,(4.470073457142857-2.6287172428571433j)
18,(4.536790971428571-2.6679518285714283j)
19,(4.603508485714285-2.7071864142857143j)
20,(4.6702259999999995-2.7464210000000002j)
21,(4.736943514285714-2.7856555857142857j)
22,(4.803661028571429-2.8248901714285717j)
23,(4.870378542857143-2.864124757142857j)
24,(4.937096057142857-2.903359342857143j)
25,(5.003813571428571-2.9425939285714287j)
26,(5.070531085714285-2.9818285142857146j)
27,(5.1372486-3.0210631j)
28,(5.2039661142857145-3.060297685714286j)
29,(5.270683628571429-3.0995322714285716j)
30,(5.337401142857143-3.1387668571428575j)
31,(5.404118657142858-3.1780014428571435j)
32,(5.470836171428572-3.217236028571429j)
33,(5.537553685714286-3.256470614285715j)
34,(5.6042712-3.2957052000000004j)
35,(5.6709887142857145-3.3349397857142864j)
36,(5.737706228571429-3.3741743714285715j)
37,(5.804423742857143-3.4134089571428574j)
38,(5.871141257142857-3.452643542857143j)
39,(5.937858771428571-3.491878128571429j)
40,(6.004576285714286-3.5311127142857144j)
41,(6.0712938-3.5703473000000003j)
42,(6.138011314285714-3.609581885714286j)
43,(6.204728828571428-3.6488164714285714j)
44,(6.271446342857143-3.6880510571428573j)
45,(6.338163857142857-3.727285642857143j)
46,(6.404881371428571-3.7665202285714288j)
47,(6.471598885714285-3.8057548142857143j)
48,(6.5383164-3.8449894000000002j)
49,(6.605033914285714-3.8842239857142857j)
50,(6.6717514285714286-3.9234585714285717j)
51,(6.738468942857143-3.9626931571428576j)
52,(6.805186457142857-4.001927742857143j)
53,(6.871903971428572-4.041162328571429j)
54,(6.938621485714286-4.080396914285715j)
55,(7.005339-4.119631500000001j)
56,(7.072056514285714-4.158866085714286j)
57,(7.138774028571429-4.198100671428572j)
58,(7.2054915428571435-4.237335257142858j)
59,(7.272209057142856-4.276569842857143j)
60,(7.338926571428572-4.315804428571429j)
61,(7.405644085714285-4.3550390142857145j)
62,(7.472361600000001-4.394273600000001j)
63,(7.539079114285713-4.4335081857142855j)
64,(7.605796628571429-4.472742771428572j)
65,(7.672514142857143-4.511977357142857j)
66,(7.739231657142858-4.551211942857144j)
67,(7.805949171428571-4.590446528571428j)
68,(7.872666685714287-4.629681114285715j)
69,(7.939384199999999-4.6689157j)
70,(8.006101714285716-4.708150285714287j)
71,(8.072819228571428-4.747384871428571j)
72,(8.139536742857143-4.786619457142858j)
73,(8.206254257142858-4.825854042857143j)
74,(8.27297177142857-4.865088628571429j)
75,(8.339689285714286-4.904323214285714j)
76,(8.4064068-4.943557800000001j)
77,(8.473124314285714-4.982792385714286j)
78,(8.53984182857143-5.022026971428572j)
79,(8.606559342857143-5.061261557142857j)
80,(8.673276857142858-5.100496142857144j)
81,(8.739994371428573-5.139730728571429j)
82,(8.806711885714286-5.178965314285715j)
83,(8.873429400000001-5.218199900000001j)
84,(8.940146914285714-5.257434485714286j)
85,(9.00686442857143-5.296669071428572j)
86,(9.073581942857142-5.335903657142857j)
87,(9.140299457142858-5.375138242857144j)
88,(9.20701697142857-5.4143728285714285j)
89,(9.273734485714286-5.453607414285715j)
90,(9.340451999999999-5.4928420000000004j)
91,(9.407169514285716-5.532076585714287j)
92,(9.473887028571427-5.5713111714285715j)
93,(9.540604542857144-5.610545757142858j)
94,(9.607322057142857-5.649780342857143j)
95,(9.674039571428573-5.68901492857143j)
96,(9.740757085714286-5.728249514285714j)
97,(9.807474599999999-5.7674841j)
98,(9.874192114285714-5.806718685714286j)
99,(9.94090962857143-5.845953271428572j)
100,(10.007627142857142-5.885187857142857j)
